Action,Email Subject,ID,Last edited time,Owner,Priority,Project,Status,Update,Update History
Data feeds: Samples and specs,BW Mascom sample data,7,"August 11, 2026 5:22 PM",Aritra,High,BW Mascom,In progress,"4/8
Aritra to send latest to Mascom","2026-07-03 16:15 SAST — Updated from email “BW Mascom sample data”: captured Ali’s follow-up on remaining sample data sources and the clarification request about Site Information files (2G/3G/4G/5G consolidation and where network technology is identified).

2026-07-03 12:22 SAST — Updated from email “Re: BW Mascom Data feed samples and specs audit”: Francois requested a summary of outstanding samples and specs be sent to Rale.

2026-07-03 12:21 SAST — Updated from email “Fw: BW Mascom Data feed samples and specs audit”: noted Ali started copying sample data to the shared folder (starting with ASN) and shared links with TV for decoding; remaining sample folders prepared and copying ongoing.

2026-07-03 09:10 SAST — Updated from email “BW Mascom Data feed samples and specs audit”: logged request to audit all feed samples/specs, copy to SharePoint, and send Rale a summary of outstanding points; requested updated outstanding list.

1 Jul 2026 18:33 SAST - Updated from email 'BW Mascom – ASN Source Samples for Decoding': noted samples uploaded; next step is to decode samples and share decoded output for client validation prior to ETL build.
24 Jun 2026 20:47 SAST - Updated from email 'BW Mascom Grammar files for ASN.1': clarified need for grammar files + encoded/decoded samples per ASN.1 source (excl TAP) and urged early vendor engagement.
24 Jun 2026 08:10 SAST - Captured new request: complete missing feed specs + add raw/decoded/grammar files for ASN.1 feeds to tracker before weekly call so daily tracking can start.

24 Jun 2026 08:10 SAST - Reviewed data feed samples/spec tracker: many feeds missing specifications; need raw, decoded, and grammar files for all ASN.1 encoded feeds. Add these to the tracker before today’s weekly call so daily tracking can start.

21/5 see email from Rale with additional samples provided
Wed, May 27
see follow up to Rale and Onalenna
Wed, Jun 3
see follow up to Rale. Ali to check new samples
Wed, Jun 10
Escalatino sent to Ali
See feedback from Ali and response back to him

Moved older Update notes during cleanup:
2026-07-03 12:22 SAST — Request: Please send a summary of outstanding samples and specs to Rale.

2026-07-03 12:21 SAST — Update: Ali has started copying sample data to the shared folder (starting with ASN files) and shared links with the TV team to begin decoding; remaining sample folders are prepared and copying will continue.
2026-07-03 09:10 SAST — Request: review all data source samples/specs, copy everything to the LATRO project SharePoint folder, and send Rale a summary of outstanding points; please share the updated outstanding list/points.

1 Jul 2026 18:33 SAST - Ali uploaded sample ASN files for new Mascom sources and requested we decode the samples and share decoded output for client validation before proceeding with full ETL implementation.
1/7 Ali asked TV to decode all ASN.1 from their side and we will validate with Mascom, no need for grammars now
24 Jun 2026 20:47 SAST - Request Mascom/vendor teams to provide ASN.1 grammar files plus encoded & decoded samples for each new ASN.1 source (except TAP). Engage vendors early as this is critical for ETL development.

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

2026-07-22 09:02 SAST — PMO agent changed Owner from Ali to Aritra.

Moved from Update on 2026-08-03:
2026-07-03 16:15 SAST — Request: follow up on remaining sample data sources; confirm whether Site Information for 2G/3G/4G/5G is consolidated into one file and, if so, where the network technology field is captured (or whether it’s not required).

2026-08-03 16:44 SAST — PMO cleanup: retained only the latest update in Update and moved all older entries to Update History.

Moved from Update on 2026-08-11:
2026-07-22 09:02 SAST — Owner changed from Ali to Aritra.

2026-08-11 17:22 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
Active Directory integration,Fw: BW Mascom AD Integration,14,"August 12, 2026 9:04 AM",Kaone,High,BW Mascom,In progress,"2026-07-29 12:58 SAST — Urgent request to Mascom (Kaone) to provide the required AD integration details: service account, bind DN, users DN, group DN, security group, and add required users to the security group.","2026-07-29 12:58 SAST — Updated from email “Fw: BW Mascom AD Integration”: logged urgent request for AD integration details (service account, bind DN, users DN, group DN, security group + add users); raised Priority to High.

2026-07-29 12:55 SAST — Updated from email “BW Mascom AD integration”: logged follow-up request for client status update; Mohamad Awab Alkhiami looped.

06 Jul 2026 09:13 SAST - Sent reminder to Kaone for outstanding AD integration details.

24 Jun 2026 08:14 SAST - Updated Email Subject + added latest follow-up request (awaiting Mascom response).

Moved older Update notes during cleanup:
Mon, Jun 8
See email to Kaone with info required.
See response from Kefiwle to Kaone, You need to log a request to create these service accounts if they do not exist already and specify the groups you will be using or request to create a new group as well.

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update on 2026-07-15:
24 Jun 2026 08:14 SAST - Follow-up sent to Kaone requesting the AD integration details (service account, bind DN, users DN, group DN, security group + add required users). Awaiting Mascom response.

2026-07-15 — PMO cleanup: moved the older dated update from Update to Update History and retained only the latest dated update in Update.

Moved from Update on 2026-08-03:
2026-07-29 12:55 SAST — Natalie followed up requesting an update on the AD integration with Mascom/client; Mohamad Awab Alkhiami has been looped in. Next step: provide status update / confirm when the required AD details will be shared.

06 Jul 2026 09:13 SAST - Reminder sent to Kaone to provide the AD integration details (service account, bind DN, users DN, group DN, security group, and add required users). Awaiting Mascom response.

2026-08-03 16:44 SAST — PMO cleanup: retained only the latest update in Update and moved all older entries to Update History."
"Missing files: MOMO, USSD, GGSN","Fw: BW Mascom Online Eportal, USSD, User and System sources not received",16,"August 19, 2026 8:17 AM",Francois Du Toit,High,BW Mascom,In progress,[2026-08-12 12:21 SAST] Masa confirmed there are no updates yet; the missing files have still not been received.,"[2026-08-12 12:21 SAST] Updated from email: Mascom confirmed no update; files still not received; updated Email Subject.

[2026-08-12 09:14 SAST] Updated from email follow-up: Francois asked Masa for an update on the outstanding missing files; updated Email Subject.

Moved from Update on 2026-08-19:
[2026-08-12 09:14 SAST] Francois followed up with Masa requesting an update on the outstanding missing source files (Online Eportal/USSD and related MoMo user/system sources).

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Data gathering sessions: 98%,IQ Asiacell Data gathering,20,"August 19, 2026 8:17 AM",Abdulrahman Ishtayeh <mailto:abdulrahmani@latro.com>,High,IQ Asiacell,In progress,"18/8
Only ERP left  need reset of dump like AR, AP, invoices","2026-07-13 16:50 SAST — Updated action with latest data gathering progress (86%) and highlighted remaining data sources requiring samples/specs; updated email subject.

2026-06-30 18:41 SAST — Added action from PMO call: Abdulrahman to add Digital channels to the data gathering progress tracker; stored email subject.

2026-06-29 08:09 SAST — Logged request from Francois: add Digital services + CBS Tables to data gathering sheet; provide progress update and action owners for escalation.
Mon, Jun 8
See follow up from Rozh

Moved older Update notes during cleanup:
2026-06-29 08:09 SAST — Request to add Digital services and CBS Tables to the data gathering sheet and share updated progress + key action owners for escalation/urgent closure.
Sun, Jun 7
see update from Abdulrahman

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update on 2026-07-15:
8/7
Abdulrahman to set data gathering review call with Samir, Rozh, Nawar and Navin

2026-06-30 18:41 SAST — Abdulrahman to add Digital channels to the data gathering progress tracker (per weekly PMO call notes).

2026-07-15 — PMO cleanup: moved older dated updates from Update to Update History and retained only the latest dated update in Update.

Moved from Update on 2026-08-19:
2026-07-13 16:50 SAST — Data gathering progress shared: overall 86%. Pending items called out include SDP VAS (needs samples/spec), CBS Roaming (needs sample data + mapping fields), ERP (remaining dumps like AR/AP/invoices), Paymobile (spec/docs + samples), and agreeing ESB integration protocol.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
PIP Update,Fw: IQ Asiacell PIP Update,22,"August 19, 2026 8:17 AM",Rozh,High,IQ Asiacell,In progress,"11/8
Version 1.97 shared","2026-07-30 13:48 — Received updated IQ Asiacell PIP: server delivery 17 Aug; ETL Phase 0 +20 working days for CBS tables; security scope updated (WAF/PAM/SIEM/VAPT); plan subject to 7.7B/day cap pending CDR volume confirmation.

2026-07-27 16:07 — Logged request for Rozh to review PIP tasks 10–19 and align post-UAT security tasks (VAPT/PAM/WAF timelines).

2026-07-14 16:54 SAST — Updated PIP milestones: infra ready/access by 15 Aug; check WAF learning included.

Moved from Update during 2026-07-31 full audit:
29/7
Updated PIP shared
2026-07-27 16:07 PIP — Need Rozh review/align tasks 10–19 + post-UAT task per security notes: VAPT after UAT (7 WD + include reassessment), PAM form/ticket timings (std 6 WD; custom 3–4 wks), WAF questionnaire + integration (8 WD); requirements already in security sheet.

2026-07-14 16:54 SAST — Update PIP: infra ready with access by 15 Aug; confirm WAF learning is included.

2026-07-31 17:51 SAST — Full PMO audit: retained only the most recent comment in Update.

Moved from Update on 2026-08-19:
30/7
Updated PIP shared (as discussed today). Key updates: server delivery set for 17 Aug; ETL Phase 0 extended by 20 working days to accommodate CBS tables; security assessment/fixes updated to include WAF, PAM, SIEM and VAPT; plan subject to max total record count of 7.7B/day pending confirmation of total CDR volume.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
BRD Conclude,Fw: IQ Asiacell BRD finalize,23,"August 20, 2026 12:15 PM","Francois, AR, Badee, Navin",High,IQ Asiacell,In progress,"[2026-08-20 12:14] Francois noted the latest BRD includes substantive changes/additional requirements (beyond minor admin/signatories). LATRO to review internally (incl. re-rating points) and provide feedback once assessment is complete.

[2026-08-18 17:26] Weekly PMO: add high-level rerating requirements to BRD (details in FSD) to avoid delaying BRD signoff; Navin to share minor BRD updates and provide feedback with Samir on BRD adjustments for rerating. CS team gave conditional approval for live data feeds in staging for 3 months (extendable); Rozh to share CS comments for PIP updates.",[2026-08-20 12:14] Logged email update: BRD has substantive new changes; LATRO to review and respond (incl. re-rating points).
CRM Dump planning,,25,"June 23, 2026 8:07 AM",Abdulrahman,Medium,IQ Asiacell,In progress,"17 Jun
Samples uploaded by Rozh, Abdulrahman to check
","Tue, Jun 2
Sample to be provided from current CRM dump (as provided to the BI Team)
Mr. Dana will assist with drafting an email to the CRM dump owner(s) for sharing with LATRO.
Tue, Jun 9
See response to Rozh, file received, but spec not sample tables. Abdulrahman to verify. Dumps still to be provided and uploaded"
Remote Access VPN,Fw: IQ Asiacell VPN jump server,27,"July 15, 2026 8:02 AM",Nawar,Medium,IQ Asiacell,In progress,"2026-07-09 11:27 SAST — Clarification sent: Jump Server access is needed now to test/validate VPN connectivity ahead of RAFM server deployment; RAFM servers not yet deployed (still under implementation), but remote access path must be operational when available.","2026-07-09 11:27 SAST — Appended latest clarification: Jump Server access required now to test/validate VPN connectivity before RAFM server deployment; updated Email Subject to forwarded thread subject.

2026-07-09 08:33 SAST — Appended latest email request: confirm Jump Server VPN access for RAFM team (17 users) and captured server details + IP; updated Email Subject.

2026-07-06 11:12 SAST — Noted latest email follow-up from Nawar: “Would you please check again” re VPN access request #SD29870965.

2026-07-02 15:55 SAST — Updated VPN action: ticket #SD29870965 still pending approval (per Shwan Aziz follow-up).

2026-07-01 18:46 SAST — Logged new RAFM team VPN access request; ServiceDesk request #SD29870965; updated email subject.

2026-06-30 18:41 SAST — Added follow-up request: Dana to align with Kak Nawar on remote VPN account creation + PAM/PAM requirements; stored email subject.

2026-06-22 18:11 SAST — Email update: remote access VPN setup requires Kak Nawar support; stored email subject.

Tue, Jun 2
Mr. Nawar will follow up on the remote VPN ticket and jump server setup.
Wed, Jun 3
Feedback from Nawar: Windows server. Francois shared list of people connecting.
Sun, Jun 7
See reminder to Rozh and team
Tue, Jun 9
see teams with Rozh: pending with the OS application meeting on Thursday and let us bring it up to Kak nawar as he is the technical owner.
Nawar will remind teams
Tue, Jun 16 15:15 — Logged request for GlobalProtect VPN account creation (Hadi Drwish, Hamza Alsaadi, Ghram Alhajy, Gergos Gergosg, Eman Tarabnin, Masa Serawan, Meheden Alkhatib) and add to VPN_Latro; DUO enablement links pending readiness.

Moved older Update notes during cleanup:
2026-07-01 18:46 SAST — Asiacell requested new VPN access for RAFM team members; ServiceDesk request #SD29870965 created.

2026-06-30 18:41 SAST — Dana to follow up with Kak Nawar on remote VPN account creation + PAM requirements (per weekly PMO call notes).

23 Jun
VPN Users list re sent to Nawar
2026-06-22 18:11 SAST — Remote access VPN setup: Kak Nawar Yaqoob to support (per latest action alignment).

2026-06-16
See email to Rozh.

28/4 Nawar will check the ticket status, not urgent.

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update on 2026-07-15:
2026-07-09 08:33 SAST — Asiacell requested confirmation to grant RAFM team (17 users) Jump Server access via VPN; jump server BIRFMJS01AIDFRV (Win Server 2019) / IP 10.21.190.50 (status OK).

2026-07-06 11:12 SAST — Asiacell requested another check/follow-up; VPN access request #SD29870965 still pending approval.

2026-07-02 15:55 SAST — Follow-up from Asiacell Cyber Security: VPN access request #SD29870965 is still pending approval.

2026-07-15 — PMO cleanup: moved older dated updates from Update to Update History and retained only the latest dated update in Update."
Data Feed Mapping to Business Requirements,IQ Asiacell data feed mapping,28,"July 27, 2026 8:12 AM",Navin,Medium,IQ Asiacell,In progress,"2026-07-27 08:11 SAST — Request to add the CDR names per each available data source (received from Asiacell) to help data source owners provide correct estimations.

","2026-07-27 08:11 SAST — Logged request to add CDR names per data source for estimation support.
"
OS install and setup,,31,"June 22, 2026 11:03 AM",Rozh,Medium,IQ Asiacell,In progress,"15 Jun
See feedback from Kurdo
Partitioning shared. 
1. FW access ,I checked and still the server IPs are not ready so we can request the access once IPs are ready .
2. Proxy whitelisting, Same for proxy we will provide once IPs are ready.","Thu, Jun 11
See actions from Rozh:

Standard partition 
FW access 
Proxy whitelisting"
